"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtbase.examples/widgets/mainwindows/mainwindow",0,1387,0.132660418231243,1,14,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,12,0,12,1,0,1,1,0.733333333333333,0.767708333333333,"qtbase"
"qtbase.examples/widgets/mainwindows/mdi",0,502,0.121513944398105,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.767708333333333,"qtbase"
"qtbase.examples/widgets/mainwindows/menus",0,318,0.0786163524910011,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/mainwindows/recentfiles",0,221,0.126696832974345,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.767708333333333,"qtbase"
"qtbase.examples/widgets/mainwindows/sdi",0,335,0.113432836085542,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.767708333333333,"qtbase"
"qtbase.examples/widgets/painting/affine",0,828,0.0567632851380721,2,10,1,2,0,2,0.5,1,1,1,6,0,6,1,1,0,0,572.635852373449,572.635852373449,0.0250492416781564,0.0250492416781564,3,3,0,0,12,0,12,1,0,1,1,0.8,0.826666666666667,"qtbase"
"qtbase.examples/widgets/painting/basicdrawing",0,349,0.100286533209087,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,16,0,16,1,0,1,1,0.994638069705094,0.875424486148347,"qtbase"
"qtbase.examples/widgets/painting/composition",0,388,0.141752577540785,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/painting/concentriccircles",0,125,0.120000000704,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/painting/deform",0,495,0.125252525429242,2,10,0,2,0,2,0.5,0.977479588889663,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,4,4,0,0,17,0,17,1,0,1,1,0.8375,0.824305555555556,"qtbase"
"qtbase.examples/widgets/painting/fontsampler",0,294,0.156462585320931,2,12,1,2,0,2,0.5,1,1,1,6,0,6,1,1,1,1,18.0157882708848,18.0157882708848,0.0192800109089256,0.0192800109089256,3,3,0,0,12,0,12,1,0,1,1,0.8,0.806666666666667,"qtbase"
"qtbase.examples/widgets/painting/gradients",0,460,0.115217391496692,2,8,0,2,0,2,0.5,0.977562683564033,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,3,3,0,0,13,0,13,1,0,1,1,0.8,0.801666666666667,"qtbase"
